snr_dB,p_fa,p_md
10.0,2.5787628875938035e-5,0.8122164940428982
10.0,2.6086536176225506e-5,0.8114885814267323
10.0,2.638890814457513e-5,0.8107584905534067
10.0,2.6694784940343235e-5,0.8100262186792861
10.0,2.7004207188377753e-5,0.809291763081673
10.0,2.731721598441379e-5,0.8085551210591517
10.0,2.7633852900531726e-5,0.8078162899312936
10.0,2.7954159990678594e-5,0.8070752670395605
10.0,2.827817979625344e-5,0.8063320497472948
10.0,2.860595535175745e-5,0.8055866354391243
10.0,2.8937530190509532e-5,0.8048390215227887
10.0,2.927294835042819e-5,0.8040892054273276
10.0,2.9612254379880374e-5,0.8033371846047026
10.0,2.9955493343598162e-5,0.8025829565297953
10.0,3.0302710828663995e-5,0.8018265186998438
10.0,3.06539529505653e-5,0.8010678686357336
10.0,3.10092663593193e-5,0.8003070038807854
10.0,3.13686982456688e-5,0.799543922002574
10.0,3.17322963473498e-5,0.7987786205920295
10.0,3.210010895543175e-5,0.7980110972636649
10.0,3.247218492073132e-5,0.7972413496559538
10.0,3.284857366030047e-5,0.7964693754323037
10.0,3.322932516398975e-5,0.7956951722794505
10.0,3.3614490001087686e-5,0.7949187379098785
10.0,3.40041193270371e-5,0.7941400700596449
10.0,3.4398264890229283e-5,0.7933591664908614
10.0,3.479697903887695e-5,0.7925760249903004
10.0,3.520031472796683e-5,0.7917906433699657
10.0,3.560832552629281e-5,0.7910030194675799
10.0,3.602106562357074e-5,0.7902131511467922
10.0,3.643858983763548e-5,0.7894210362973364
10.0,3.686095362172162e-5,0.788626672834297
10.0,3.7288213071828376e-5,0.787830058700274
10.0,3.7720424934170016e-5,0.7870311918633004
10.0,3.8157646612712525e-5,0.7862300703190953
10.0,3.859993617679771e-5,0.7854266920897501
10.0,3.904735236885564e-5,0.7846210552248438
10.0,3.949995461220647e-5,0.7838131578008938
10.0,3.9957803018952735e-5,0.7830029979223732
10.0,4.04209583979631e-5,0.782190573721298
10.0,4.0889482262948645e-5,0.7813758833577723
10.0,4.1363436840632776e-5,0.7805589250202964
10.0,4.1842885079015846e-5,0.7797396969249117
10.0,4.232789065573553e-5,0.7789181973171813
10.0,4.281851798652415e-5,0.7780944244708959
10.0,4.331483223376403e-5,0.7772683766888704
10.0,4.381689931514194e-5,0.7764400523033173
10.0,4.432478591240401e-5,0.7756094496754733
10.0,4.483855948021191e-5,0.774776567196676
10.0,4.535828825510191e-5,0.7739414032876033
10.0,4.5884041264547616e-5,0.7731039563991429
10.0,4.641588833612782e-5,0.7722642250125114
10.0,4.695390010680063e-5,0.7714222076388582
10.0,4.7498148032285043e-5,0.7705779028204351
10.0,4.804870439655134e-5,0.7697313091301896
10.0,4.8605642321421386e-5,0.7688824251720537
10.0,4.916903577628031e-5,0.7680312495814032
10.0,4.973895958790068e-5,0.7671777810245115
10.0,5.0315489450380564e-5,0.7663220182001764
10.0,5.089870193519685e-5,0.7654639598381985
10.0,5.148867450137498e-5,0.7646036047011706
10.0,5.2085485505776655e-5,0.7637409515834895
10.0,5.268921421350677e-5,0.7628759993121771
10.0,5.329994080844093e-5,0.7620087467472163
10.0,5.391774640387505e-5,0.7611391927814264
10.0,5.454271305329836e-5,0.7602673363403782
10.0,5.517492376129129e-5,0.7593931763834094
10.0,5.581446249454967e-5,0.7585167119032565
10.0,5.646141419303673e-5,0.7576379419266432
10.0,5.711586478126435e-5,0.7567568655138304
10.0,5.777790117970507e-5,0.7558734817598514
10.0,5.8447611316336376e-5,0.7549877897935233
10.0,5.912508413831881e-5,0.7540997887788821
10.0,5.981040962380944e-5,0.7532094779144136
10.0,6.0503678793912246e-5,0.7523168564336691
10.0,6.120498372476703e-5,0.7514219236058814
10.0,6.191441755977848e-5,0.7505246787352031
10.0,6.263207452198692e-5,0.7496251211618381
10.0,6.335804992658255e-5,0.7487232502616533
10.0,6.409244019356456e-5,0.7478190654470859
10.0,6.483534286054727e-5,0.7469125661664439
10.0,6.558685659571436e-5,0.7460037519046333
10.0,6.63470812109235e-5,0.7450926221837755
10.0,6.711611767496287e-5,0.7441791765624044
10.0,6.789406812696113e-5,0.7432634146367232
