J,Ka,R_in,beta,q_active,pmd_target,pfa_target,gamma_target,E_optimal_dB,eta_optimal,gamma_optimal,E_algorithmic_dB,eta_algorithmic,gamma_algorithmic
4.800000000000000000e+01,1.677721600000000000e+07,1.192092895507812500e-07,6.990506666666666279e+05,5.960464299903392457e-08,6.250000000000000347e-03,5.960464477539062624e-10,7.359939749736656722e+01,-7.406249999999989786e-01,9.823547023505193598e-01,7.952012634516916023e+01,1.598437500000003286e+00,1.000000000000000000e+00,1.387123032502493629e+02
4.900000000000000000e+01,2.372656600000000000e+07,8.429369846441326577e-08,9.684312984541136539e+05,4.214684690140310278e-08,6.250000000000000347e-03,4.214684778958144369e-10,7.455164150614734808e+01,-7.515624999999989120e-01,9.840178492918142394e-01,8.110970128237906351e+01,1.653125000000003286e+00,1.000000000000000000e+00,1.433965080647532488e+02
5.000000000000000000e+01,3.355443200000000000e+07,5.960464477539062500e-08,1.342177280000000028e+06,2.980232194360611919e-08,6.250000000000000347e-03,2.980232238769531312e-10,7.550181816580560223e+01,-7.640624999999988676e-01,9.851732998299094213e-01,8.262403173840188231e+01,1.709375000000003197e+00,1.000000000000000000e+00,1.482304748994408499e+02
5.100000000000000000e+01,4.745313300000000000e+07,4.214684834402819995e-08,1.860907161735354923e+06,2.107342411683532977e-08,6.250000000000000347e-03,2.107342433887993211e-10,7.644997664750958677e+01,-7.749999999999989120e-01,9.857434934451282382e-01,8.411318747134642138e+01,1.768750000000003375e+00,1.000000000000000000e+00,1.532763577096547749e+02
5.200000000000000000e+01,6.710886400000000000e+07,2.980232238769531250e-08,2.581110153846153989e+06,1.490116108282535379e-08,6.250000000000000347e-03,1.490116119384765656e-10,7.739616406758686651e+01,-7.859374999999989564e-01,9.858983493740298698e-01,8.556018773077931883e+01,1.826562500000003197e+00,1.000000000000000000e+00,1.583760799457443227e+02
5.300000000000000000e+01,9.490626600000000000e+07,2.107342417201409998e-08,3.581368499943513423e+06,1.053671211392881446e-08,6.250000000000000347e-03,1.053671216943996605e-10,7.834042570595522648e+01,-7.953124999999989786e-01,9.860607266359880940e-01,8.703186239558874604e+01,1.881250000000003642e+00,1.000000000000000000e+00,1.634672909107168266e+02
5.400000000000000000e+01,1.342177280000000000e+08,1.490116119384765625e-08,4.971026962962962687e+06,7.450580569168252509e-09,6.250000000000000347e-03,7.450580596923828280e-11,7.928280521681520554e+01,-8.062499999999989120e-01,9.864731261296928455e-01,8.848792557089423383e+01,1.934375000000003508e+00,1.000000000000000000e+00,1.686014306584195879e+02
5.500000000000000000e+01,1.898125310000000000e+08,1.053671214151820122e-08,6.902273872618407942e+06,5.268356043086619422e-09,6.250000000000000347e-03,5.268356056964407385e-11,8.022334455952061205e+01,-8.156249999999989342e-01,9.872716114121380393e-01,9.000504106602093657e+01,1.987500000000003597e+00,1.000000000000000000e+00,1.738371867833956514e+02
5.600000000000000000e+01,2.684354560000000000e+08,7.450580596923828125e-09,9.586980571428570896e+06,3.725290291523020159e-09,6.250000000000000347e-03,3.725290298461914140e-11,8.116208418271240532e+01,-8.265624999999989786e-01,9.882540815668588996e-01,9.150195841398132757e+01,2.046875000000003553e+00,1.000000000000000000e+00,1.794343239190493478e+02
5.700000000000000000e+01,3.796250620000000000e+08,5.268356070759100610e-09,1.332017764891271666e+07,2.634178025012756663e-09,6.250000000000000347e-03,2.634178028482203693e-11,8.209906308735374125e+01,-8.374999999999990230e-01,9.891860246068879814e-01,9.298926677266939578e+01,2.110937500000003464e+00,1.000000000000000000e+00,1.853525654048376055e+02
