J,Ka,Phat,Phat_avg,allocation,branch,eta,gamma_effective,gamma_levels,gamma_target,local_minima_count,local_minima_eta,prior_mean,prior_p0,prior_p1,threshold_EbN0_dB
15,200,38.44844349681908,38.44844349681908,power_allocated,optimal,0.9163189255367793,32.462484281930216,32.462484 36.357982 37.007232,32.45403843218293,1,0.91631893,0.006103515625,0.9939149804211999,0.00606656074966399,4.879687500000001
15,250,38.963684044751595,38.963684044751595,power_allocated,algorithmic,0.9040655660687095,32.45759030186287,32.45759 36.352501 37.001653,32.45403843218293,1,0.90406557,0.00762939453125,0.9923995198924287,0.0075716385379530375,4.937500000000003
15,250,38.963684044751595,38.963684044751595,power_allocated,optimal,0.9040655660687095,32.45759030186287,32.45759 36.352501 37.001653,32.45403843218293,1,0.90406557,0.00762939453125,0.9923995198924287,0.0075716385379530375,4.937500000000003
15,300,40.52203646313682,40.52203646313682,power_allocated,algorithmic,0.9091625312918664,33.946040495143095,33.94604 38.019565 38.698486,32.45403843218293,1,0.90916253,0.0091552734375,0.9908863700448118,0.009072112522154716,5.107812500000003
15,300,40.52203646313682,40.52203646313682,power_allocated,optimal,0.9091625312918664,33.946040495143095,33.94604 38.019565 38.698486,32.45403843218293,1,0.90916253,0.0091552734375,0.9908863700448118,0.009072112522154716,5.107812500000003
20,50,49.38328946663033,49.38328946663033,power_allocated,algorithmic,0.970977051146837,40.95967337449376,40.959673 77.823379,40.95732534629209,1,0.97097705,4.76837158203125e-05,0.9999523173982937,4.768148760929327e-05,3.4625000000000012
20,50,49.38328946663033,49.38328946663033,power_allocated,optimal,0.970977051146837,40.95967337449376,40.959673 77.823379,40.95732534629209,1,0.97097705,4.76837158203125e-05,0.9999523173982937,4.768148760929327e-05,3.4625000000000012
20,100,50.31587335304587,50.31587335304587,power_allocated,algorithmic,0.9529766142531372,40.95951094448642,40.959511 77.823071,40.95732534629209,1,0.95297661,9.5367431640625e-05,0.9999046370702179,9.535842806382166e-05,3.5437500000000015
20,100,50.31587335304587,50.31587335304587,power_allocated,optimal,0.9529766142531372,40.95951094448642,40.959511 77.823071,40.95732534629209,1,0.95297661,9.5367431640625e-05,0.9999046370702179,9.535842806382166e-05,3.5437500000000015
20,150,51.10033712446604,51.10033712446604,power_allocated,algorithmic,0.938644027465937,40.972474189331585,40.972474 77.847701,40.95732534629209,1,0.93864403,0.0001430511474609375,0.9998569590156642,0.00014303082168881542,3.6109375000000017
20,150,51.10033712446604,51.10033712446604,power_allocated,optimal,0.938644027465937,40.972474189331585,40.972474 77.847701,40.95732534629209,1,0.93864403,0.0001430511474609375,0.9998569590156642,0.00014303082168881542,3.6109375000000017
20,200,51.7851233812029,51.7851233812029,power_allocated,algorithmic,0.9259580697351661,40.96036708710577,40.960367 77.824697,40.95732534629209,1,0.92595807,0.00019073486328125,0.9998092832345242,0.00019069866880948414,3.6687500000000015
20,200,51.7851233812029,51.7851233812029,power_allocated,optimal,0.9259580697351661,40.96036708710577,40.960367 77.824697,40.95732534629209,1,0.92595807,0.00019073486328125,0.9998092832345242,0.00019069866880948414,3.6687500000000015
20,250,52.441338177650756,52.441338177650756,power_allocated,algorithmic,0.9143674478778525,40.96019595845509,40.960196 77.824372,40.95732534629209,1,0.91436745,0.0002384185791015625,0.9997616097266895,0.00023836196975101672,3.7234375000000015
20,250,52.441338177650756,52.441338177650756,power_allocated,optimal,0.9143674478778525,40.96019595845509,40.960196 77.824372,40.95732534629209,1,0.91436745,0.0002384185791015625,0.9997616097266895,0.00023836196975101672,3.7234375000000015
20,300,57.35615309789421,57.35615309789421,power_allocated,algorithmic,0.9410307807596174,46.10535268027675,46.105353 87.60017,40.95732534629209,1,0.94103078,0.000286102294921875,0.9997139384920516,0.0002860207248385814,4.112500000000002
20,300,57.35615309789421,57.35615309789421,power_allocated,optimal,0.9410307807596174,46.10535268027675,46.105353 87.60017,40.95732534629209,1,0.94103078,0.000286102294921875,0.9997139384920516,0.0002860207248385814,4.112500000000002
