AMP_convergence_fraction,EbN0_dB,J,Ka,Pe_mean,Pe_median,Pe_standard_error,allocation,elapsed_seconds,mean_AMP_iterations,mean_final_list_size,missing_users,oversized_list_fraction,transmitted_users,tree_overflow_fraction,trials
0.0,3.25,15,200,0.9425,0.945,0.002410519873514021,flat,11.79024338722229,100.0,11.59,18850,0.0,20000,0.0,100
0.0,3.5,15,200,0.8371000000000001,0.845,0.005809770593012632,flat,13.195486545562744,100.0,32.87,16742,0.0,20000,0.0,100
0.0,3.75,15,200,0.57655,0.57,0.008773725410323573,flat,13.321893453598022,100.0,85.53,11531,0.0,20000,0.0,100
0.52,4.0,15,200,0.30894999999999995,0.3,0.006672457712057224,flat,18.301761865615845,94.38,139.46,6179,0.0,20000,0.0,100
0.89,4.25,15,200,0.15065,0.145,0.00411983070653456,flat,13.71309781074524,63.73,171.26,3013,0.0,20000,0.0,100
0.89,4.5,15,200,0.06995000000000001,0.065,0.002526121113246132,flat,11.95371675491333,48.78,187.45,1399,0.0,20000,0.0,100
0.89,4.75,15,200,0.03265,0.03,0.0014362813235588776,flat,21.416389226913452,40.61,195.04,653,0.05,20000,0.0,100
0.89,4.625,15,200,0.0471,0.045,0.0019464808960757563,flat,27.196343421936035,44.21,192.1,942,0.02,20000,0.0,100
0.89,4.5625,15,200,0.05745000000000001,0.055,0.0022287095963015157,flat,7.906669616699219,46.25,190.0,1149,0.01,20000,0.0,100
0.89,4.59375,15,200,0.0512,0.05,0.0020039355218563234,flat,18.34701108932495,45.19,191.26,1024,0.02,20000,0.0,100
0.83,2.0,15,200,0.9989500000000001,1.0,0.00021666666666666682,power_allocated,18.15059804916382,52.57,0.21,19979,0.0,20000,0.0,100
0.83,2.25,15,200,0.9979499999999999,1.0,0.0003023059524536178,power_allocated,17.00867795944214,57.83,0.41,19959,0.0,20000,0.0,100
0.84,2.5,15,200,0.9954000000000001,0.995,0.00046968719442418367,power_allocated,12.532753944396973,64.58,0.92,19908,0.0,20000,0.0,100
0.84,2.75,15,200,0.9909999999999998,0.99,0.0007453559924999305,power_allocated,22.767863988876343,75.35,1.81,19820,0.0,20000,0.0,100
0.66,3.0,15,200,0.978,0.98,0.0012890369124335277,power_allocated,13.22585153579712,92.95,4.44,19560,0.0,20000,0.0,100
0.0,3.25,15,200,0.9441499999999998,0.95,0.0024361077997743044,power_allocated,10.164274454116821,100.0,11.25,18883,0.0,20000,0.0,100
0.0,3.5,15,200,0.8377499999999999,0.84,0.005488912147744447,power_allocated,23.667457580566406,100.0,32.73,16755,0.0,20000,0.0,100
0.0,3.75,15,200,0.58775,0.5925,0.008636712512889557,power_allocated,13.344891548156738,100.0,83.26,11755,0.0,20000,0.0,100
0.47,4.0,15,200,0.32115000000000005,0.315,0.0068364202192478934,power_allocated,13.311344623565674,94.69,137.0,6423,0.0,20000,0.0,100
0.89,4.25,15,200,0.16010000000000002,0.1575,0.004165745352687121,power_allocated,7.665380477905273,64.21,169.34,3202,0.0,20000,0.0,100
0.89,4.5,15,200,0.07665000000000001,0.075,0.0026600818321125676,power_allocated,12.326164960861206,49.08,186.16,1533,0.0,20000,0.0,100
0.89,4.75,15,200,0.037450000000000004,0.035,0.001596231357120435,power_allocated,11.70654296875,40.8,194.12,749,0.04,20000,0.0,100
0.89,4.625,15,200,0.05210000000000001,0.05,0.002037749798779095,power_allocated,12.210271120071411,44.43,191.15,1042,0.02,20000,0.0,100
0.89,4.6875,15,200,0.043649999999999994,0.042499999999999996,0.0017332969110392428,power_allocated,18.058515787124634,42.54,192.87,873,0.03,20000,0.0,100
0.89,4.65625,15,200,0.047650000000000005,0.045,0.0018360241960510347,power_allocated,11.72452187538147,43.47,192.07,953,0.03,20000,0.0,100
0.9,2.0,15,250,0.99992,1.0,5.628211765451592e-05,flat,11.66368579864502,43.77,0.02,24998,0.0,25000,0.0,100
0.9,2.25,15,250,0.9998,1.0,8.76171654230362e-05,flat,12.858864545822144,47.36,0.05,24995,0.0,25000,0.0,100
0.9,2.5,15,250,0.99972,1.0,0.00010257295999049718,flat,17.319266080856323,51.95,0.07,24993,0.0,25000,0.0,100
0.9,2.75,15,250,0.99944,1.0,0.0001610069325315912,flat,12.44451355934143,58.22,0.14,24986,0.0,25000,0.0,100
0.88,3.0,15,250,0.99884,1.0,0.0002497352133113728,flat,13.227190256118774,67.45,0.29,24971,0.0,25000,0.0,100
0.87,3.25,15,250,0.9976800000000001,1.0,0.00033721377687326407,flat,17.938984632492065,80.5,0.58,24942,0.0,25000,0.0,100
0.39,3.5,15,250,0.9953200000000001,0.996,0.0005022937287076062,flat,13.823210000991821,97.62,1.18,24883,0.0,25000,0.0,100
0.0,3.75,15,250,0.9879600000000001,0.988,0.0007112260008200102,flat,13.73582124710083,100.0,3.05,24699,0.0,25000,0.0,100
0.0,4.0,15,250,0.9538,0.964,0.0035447499947461056,flat,13.412178993225098,100.0,11.7,23845,0.0,25000,0.0,100
0.01,4.25,15,250,0.35904,0.27,0.02316975527699763,flat,23.4486665725708,99.95,161.61,8976,0.0,25000,0.0,100
0.84,4.5,15,250,0.10908000000000001,0.104,0.004973580300960367,flat,12.421838760375977,80.87,224.74,2727,0.0,25000,0.0,100
0.9,4.75,15,250,0.046439999999999995,0.044,0.002391158799419312,flat,6.89257287979126,54.89,240.67,1161,0.01,25000,0.0,100
0.9,4.625,15,250,0.07088,0.064,0.0032660259111839964,flat,17.303800582885742,64.48,234.44,1772,0.0,25000,0.0,100
0.9,4.6875,15,250,0.05744,0.054,0.002718002831849039,flat,13.24648380279541,59.16,237.89,1436,0.0,25000,0.0,100
0.9,4.71875,15,250,0.05144,0.048,0.002479504675200963,flat,12.559373140335083,56.93,239.4,1286,0.01,25000,0.0,100
0.9,2.0,15,250,0.99988,1.0,6.857864319910618e-05,power_allocated,11.593146085739136,43.88,0.03,24997,0.0,25000,0.0,100
0.9,2.25,15,250,0.9998,1.0,8.76171654230362e-05,power_allocated,17.003586292266846,47.57,0.05,24995,0.0,25000,0.0,100
0.9,2.5,15,250,0.99964,1.0,0.00011504939650586466,power_allocated,22.449787378311157,52.19,0.09,24991,0.0,25000,0.0,100
0.89,2.75,15,250,0.9991600000000002,1.0,0.00019107352226064965,power_allocated,13.29892611503601,58.92,0.21,24979,0.0,25000,0.0,100
0.88,3.0,15,250,0.9987999999999999,1.0,0.00022383254924387158,power_allocated,12.532996654510498,67.91,0.3,24970,0.0,25000,0.0,100
0.87,3.25,15,250,0.9978400000000001,1.0,0.00029222932740910853,power_allocated,8.936800479888916,80.98,0.55,24946,0.0,25000,0.0,100
0.35,3.5,15,250,0.99532,0.996,0.00044424035718234256,power_allocated,18.462729454040527,97.99,1.17,24883,0.0,25000,0.0,100
