curve_type,source_file,remainder_allocation,J,Ka,alpha,rate,reliable,cap_hit_fraction,pupe,total_parity,effective_information_bits
entropy_bound,analytic,,12,537.2513217900944,1.3231227484989994,0.34165377603796615,true,,,,
entropy_bound,analytic,,12,531.3362647075098,1.3254569713142095,0.34314187553748005,true,,,,
entropy_bound,analytic,,12,525.5067863421081,1.3277911941294196,0.3446240961448368,true,,,,
entropy_bound,analytic,,12,519.7613899257426,1.3301254169446297,0.3461004672162752,true,,,,
entropy_bound,analytic,,12,514.0986090738725,1.3324596397598398,0.3475710181297275,true,,,,
entropy_bound,analytic,,12,508.51700708766043,1.33479386257505,0.3490357782761547,true,,,,
entropy_bound,analytic,,12,503.0151762738945,1.33712808539026,0.3504947770512432,true,,,,
entropy_bound,analytic,,12,497.59173728223476,1.3394623082054702,0.35194804384744754,true,,,,
entropy_bound,analytic,,12,492.24533845929545,1.3417965310206803,0.35339560804636727,true,,,,
entropy_bound,analytic,,12,486.97465521910055,1.3441307538358904,0.35483749901144995,true,,,,
entropy_bound,analytic,,12,481.7783894294491,1.3464649766511005,0.3562737460810042,true,,,,
entropy_bound,analytic,,12,476.65526881375837,1.3487991994663107,0.35770437856151366,true,,,,
entropy_bound,analytic,,12,471.6040463679454,1.351133422281521,0.35912942572124423,true,,,,
entropy_bound,analytic,,12,466.6234997919447,1.3534676450967311,0.36054891678412754,true,,,,
entropy_bound,analytic,,12,461.71243093544086,1.3558018679119412,0.36196288092392054,true,,,,
entropy_bound,analytic,,12,456.86966525744884,1.3581360907271514,0.36337134725862064,true,,,,
entropy_bound,analytic,,12,452.09405129934066,1.3604703135423615,0.3647743448451363,true,,,,
entropy_bound,analytic,,12,447.3844601709648,1.3628045363575716,0.3661719026741998,true,,,,
entropy_bound,analytic,,12,442.73978504949395,1.3651387591727817,0.3675640496655128,true,,,,
entropy_bound,analytic,,12,438.1589406906608,1.3674729819879918,0.36895081466311874,true,,,,
entropy_bound,analytic,,12,433.640862952037,1.3698072048032022,0.37033222643099467,true,,,,
entropy_bound,analytic,,12,429.18450832804166,1.3721414276184123,0.37170831364884904,true,,,,
entropy_bound,analytic,,12,424.7888534963475,1.3744756504336224,0.37307910490812635,true,,,,
entropy_bound,analytic,,12,420.452894875391,1.3768098732488325,0.3744446287082042,true,,,,
entropy_bound,analytic,,12,416.1756481926806,1.3791440960640426,0.3758049134527792,true,,,,
entropy_bound,analytic,,12,411.9561480636156,1.3814783188792528,0.37715998744643403,true,,,,
entropy_bound,analytic,,12,407.79344758053253,1.3838125416944629,0.3785098788913798,true,,,,
entropy_bound,analytic,,12,403.6866179117127,1.386146764509673,0.37985461588436575,true,,,,
entropy_bound,analytic,,12,399.63474791007474,1.3884809873248831,0.3811942264137511,true,,,,
entropy_bound,analytic,,12,395.63694373130613,1.3908152101400932,0.382528738356735,true,,,,
entropy_bound,analytic,,12,391.6923284611749,1.3931494329553034,0.383858179476734,true,,,,
entropy_bound,analytic,,12,387.8000417517865,1.3954836557705135,0.3851825774209064,true,,,,
entropy_bound,analytic,,12,383.95923946654113,1.3978178785857236,0.3865019597178165,true,,,,
entropy_bound,analytic,,12,380.1690933335729,1.400152101400934,0.3878163537752302,true,,,,
entropy_bound,analytic,,12,376.4287906074383,1.402486324216144,0.3891257868780447,true,,,,
entropy_bound,analytic,,12,372.73753373884665,1.4048205470313542,0.39043028618633807,true,,,,
entropy_bound,analytic,,12,369.09454005221306,1.4071547698465643,0.39172987873354215,true,,,,
entropy_bound,analytic,,12,365.4990414308439,1.4094889926617744,0.39302459142472734,true,,,,
entropy_bound,analytic,,12,361.95028400953817,1.4118232154769845,0.3943144510350022,true,,,,
entropy_bound,analytic,,12,358.4475278744293,1.4141574382921946,0.3955994842080172,true,,,,
entropy_bound,analytic,,12,354.9900467698714,1.416491661107405,0.39687971745457096,true,,,,
entropy_bound,analytic,,12,351.5771278121871,1.418825883922615,0.39815517715131693,true,,,,
entropy_bound,analytic,,12,348.2080712101057,1.4211601067378252,0.39942588953956465,true,,,,
entropy_bound,analytic,,12,344.8821899917157,1.4234943295530353,0.40069188072416984,true,,,,
entropy_bound,analytic,,12,341.5988097377654,1.4258285523682455,0.4019531766725165,true,,,,
entropy_bound,analytic,,12,338.3572683211529,1.4281627751834556,0.40320980321357935,true,,,,
entropy_bound,analytic,,12,335.15691565243935,1.4304969979986657,0.40446178603706934,true,,,,
entropy_bound,analytic,,12,331.9971134312405,1.4328312208138758,0.4057091506926579,true,,,,
entropy_bound,analytic,,12,328.8772349033454,1.435165443629086,0.4069519225892724,true,,,,
