trial,EbN0_dB,allocation,Pe_trial,recovered_users,missing_users,unique_decoded_messages,pre_cap_final_list_size,tree_overflow,overflow_stage,attempted_paths,oversized_final_list,amp_iterations,amp_converged,final_tau2,rel_change,amp_elapsed_sec,elapsed_sec,high_sections_pair
2,4.0,2-level power allocation,0.03333333333333333,290,10,290,290,False,0,0,False,61,True,1.061580784008809,5.303940040614523e-06,18.28003168106079,18.409603357315063,7 8
2,4.0,flat power allocation,0.99,3,297,3,3,False,0,0,False,100,False,4.2859200400893895,1.3340941086938713e-05,29.934180736541748,30.02653479576111,7 8
2,4.5,2-level power allocation,0.0033333333333333335,299,1,299,299,False,0,0,False,34,True,1.0192463347117662,2.7651624238654957e-06,10.193927764892578,10.326107025146484,7 8
2,4.5,flat power allocation,0.0,300,0,300,300,False,0,0,False,54,True,0.9920361476460015,4.085501142989231e-06,16.176229000091553,16.315171003341675,7 8
2,5.0,2-level power allocation,0.0,300,0,300,300,False,0,0,False,24,True,0.9970121509816718,3.1521132090884216e-06,7.20290470123291,7.328167915344238,7 8
2,5.0,flat power allocation,0.0,300,0,300,300,False,0,0,False,28,True,0.9866723977874189,4.6531746157205343e-07,8.39466905593872,8.523860931396484,7 8
2,5.5,2-level power allocation,0.0,300,0,300,300,False,0,0,False,19,True,0.9879548513934319,1.4868884723800199e-06,5.706932306289673,5.846346378326416,7 8
2,5.5,flat power allocation,0.0,300,0,300,300,False,0,0,False,20,True,0.9826681927969136,1.653675025984056e-06,6.003505706787109,6.145182371139526,7 8
3,3.0,2-level power allocation,1.0,0,300,0,0,False,0,0,False,51,True,3.539627147712805,7.293381407810414e-06,15.28873348236084,15.397151470184326,7 8
3,3.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,39,True,4.067575621519331,5.7889934293135764e-06,11.698119401931763,11.806530952453613,7 8
3,3.5,2-level power allocation,1.0,0,300,0,0,False,0,0,False,71,True,3.6601281769715808,8.659386696322676e-06,21.27972960472107,21.38419270515442,7 8
