S_in,E_required_dB,eta_alg_required,gamma_effective_required,beta,q_active,gamma_target,Ka
1.053614457831325568e+00,-7.500000000001119105e-01,9.803354723709559737e-01,6.598796029082788550e+01,2.761987084337350097e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.063453815261044433e+00,-7.500000000001119105e-01,9.801280390488609218e-01,6.597399761967379561e+01,2.787780369477912245e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.073293172690763297e+00,-7.500000000001119105e-01,9.799201344659670410e-01,6.596000322719598330e+01,2.813573654618474393e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.083132530120482162e+00,-7.500000000001119105e-01,9.797117548834154421e-01,6.594597686172582485e+01,2.839366939759036904e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.092971887550201027e+00,-7.500000000001119105e-01,9.795029407304622904e-01,6.593192124462170511e+01,2.865160224899599052e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.102811244979919891e+00,-7.500000000001119105e-01,9.792935492916257090e-01,6.591782676947455855e+01,2.890953510040161200e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.112650602409638756e+00,-7.500000000001119105e-01,9.790837865353048119e-01,6.590370730034923952e+01,2.916746795180723348e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.122489959839357621e+00,-7.400000000001121236e-01,9.791843212520757733e-01,6.606241378957395227e+01,2.942540080321285495e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.132329317269076485e+00,-7.400000000001121236e-01,9.789763081661849720e-01,6.604837981634183564e+01,2.968333365461848007e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
1.142168674698795350e+00,-7.400000000001121236e-01,9.787677683709331555e-01,6.603431030772479460e+01,2.994126650602410155e+04,9.536738616594773194e-07,6.590041374173989652e+01,1.048576000000000000e+06
