S_in,E_optimal_asymptotic_dB,E_amp_asymptotic_dB
6.698795180722892928e-01,-3.554832336656692959e+00,-1.891058324227637311e+00
6.797188755020081574e-01,-3.538872312503740680e+00,-1.835409669050960035e+00
6.895582329317270220e-01,-3.522895639557273029e+00,-1.779038690017249902e+00
6.993975903614458867e-01,-3.506902323169406976e+00,-1.721926388614822612e+00
7.092369477911647513e-01,-3.490892368766385090e+00,-1.664053006785845223e+00
7.190763052208836159e-01,-3.474865781848453850e+00,-1.605397985890755219e+00
7.289156626506025916e-01,-3.458822567989753960e+00,-1.545939922863430960e+00
7.387550200803214562e-01,-3.442762732838194228e+00,-1.485656523323138023e+00
7.485943775100403208e-01,-3.426686282115329885e+00,-1.424524551386183724e+00
7.584337349397591854e-01,-3.410593221616240900e+00,-1.362519775894560636e+00
7.682730923694780500e-01,-3.394483557209404978e+00,-1.299616912750163777e+00
7.781124497991969147e-01,-3.378357294836571434e+00,-1.235789563011131520e+00
7.879518072289157793e-01,-3.362214440512631963e+00,-1.171010146370995653e+00
7.977911646586346439e-01,-3.346055000325494966e+00,-1.105249829601122835e+00
8.076305220883535085e-01,-3.329878980435949654e+00,-1.038478449491764044e+00
8.174698795180724842e-01,-3.313686387077535933e+00,-9.706644297762395679e-01
8.273092369477913488e-01,-3.297477226556411622e+00,-9.017746914655321300e-01
8.371485943775102134e-01,-3.281251505251210787e+00,-8.317745559559401869e-01
8.469879518072290780e-01,-3.265009229612918507e+00,-7.606276401993505853e-01
8.568273092369479427e-01,-3.248750406164718996e+00,-6.882957431428275985e-01
8.666666666666668073e-01,-3.232475041501863267e+00,-6.147387225501780295e-01
8.765060240963856719e-01,-3.216183142291529240e+00,-5.399143612110907098e-01
8.863453815261045365e-01,-3.199874715272675196e+00,-4.637782214214148935e-01
8.961847389558234012e-01,-3.183549767255895446e+00,-3.862834864786632294e-01
9.060240963855423768e-01,-3.167208305123278667e+00,-3.073807877770708963e-01
9.158634538152612414e-01,-3.150850335828254689e+00,-2.270180159031523204e-01
9.257028112449801061e-01,-3.134475866395454613e+00,-1.451401139215867664e-01
9.355421686746989707e-01,-3.118084903920553153e+00,-6.168885079779509034e-02
9.453815261044178353e-01,-3.101677455570121644e+00,2.339742737818771914e-02
9.552208835341366999e-01,-3.085253528581474836e+00,1.101840710286669800e-01
9.650602409638555645e-01,-3.068813130262515454e+00,1.987404286282482280e-01
9.748995983935744292e-01,-3.052356267991582328e+00,2.891401796323826989e-01
9.847389558232932938e-01,-3.035882949217289628e+00,3.814617027988508324e-01
9.945783132530121584e-01,-3.019393181458372766e+00,4.757884845155007647e-01
1.004417670682731023e+00,-3.002886972303524971e+00,5.722095724647301429e-01
1.014257028112449888e+00,-2.986364329411239638e+00,6.708200808026599793e-01
1.024096385542168752e+00,-2.969825260509646903e+00,7.717217540359742056e-01
1.033935742971887617e+00,-2.953269773396354658e+00,8.750235979757745586e-01
1.043775100401606482e+00,-2.936697875938274915e+00,9.808425875773935099e-01
1.053614457831325568e+00,-2.920109576071465707e+00,1.089304463190527095e+00
1.063453815261044433e+00,-2.903504881800961002e+00,1.200544628810993553e+00
1.073293172690763297e+00,-2.886883801200602839e+00,1.314709168427389274e+00
1.083132530120482162e+00,-2.870246342412868135e+00,1.431955999598268026e+00
1.092971887550201027e+00,-2.853592513648705697e+00,1.552456187113660846e+00
1.102811244979919891e+00,-2.836922323187352823e+00,1.676395444162075199e+00
1.112650602409638756e+00,-2.820235779376174534e+00,1.803975854065435813e+00
1.122489959839357621e+00,-2.803532890630471730e+00,1.935417852652359549e+00
1.132329317269076485e+00,-2.786813665433323095e+00,2.070962520098870385e+00
1.142168674698795350e+00,-2.770078112335397247e+00,2.210874242083078922e+00
1.152008032128514214e+00,-2.753326239954775545e+00,2.355443814053688190e+00
1.161847389558233079e+00,-2.736558056976772679e+00,2.504992080212005146e+00
1.171686746987951944e+00,-2.719773572153757257e+00,2.659874221689021212e+00
1.181526104417670808e+00,-2.702972794304967508e+00,2.820484838056080523e+00
1.191365461847389673e+00,-2.686155732316329203e+00,2.987264005083435592e+00
1.201204819277108538e+00,-2.669322395140269144e+00,3.160704542836454856e+00
1.211044176706827402e+00,-2.652472791795533524e+00,3.341360796421589896e+00
1.220883534136546489e+00,-2.635606931366992534e+00,3.529859323630221812e+00
1.230722891566265353e+00,-2.618724823005464497e+00,3.726912009074179633e+00
1.240562248995984218e+00,-2.601826475927514259e+00,3.933332297473488115e+00
1.250401606425703083e+00,-2.584911899415271108e+00,4.150055481009396807e+00
1.260240963855421947e+00,-2.567981102816232486e+00,4.378164319853842912e+00
1.270080321285140812e+00,-2.551034095543073921e+00,4.618921772086006072e+00
1.279919678714859677e+00,-2.534070887073453626e+00,4.873813340136611494e+00
1.289759036144578541e+00,-2.517091486949817103e+00,5.144602637173898430e+00
1.299598393574297406e+00,-2.500095904779206180e+00,5.433405457669992167e+00
1.309437751004016270e+00,-2.483084150233052068e+00,5.742790277615568151e+00
