eta,g_Popt,g_Palg,g_Pstar,g_mixture,G_Popt,G_Palg,G_Pstar,G_mixture
4.196748645268862099e-02,-1.831058851477616400e+01,-1.686965894023957802e+01,-1.438215842466984995e+01,-1.755432349914427093e+01,7.365272951786505651e-01,7.846687012701865083e-01,8.889341425584424972e-01,7.658672513882224253e-01
4.233013755731554473e-02,-1.810662882803103457e+01,-1.666608510483065331e+01,-1.418071479857928097e+01,-1.735084818111809568e+01,7.299239231302465658e-01,7.785878139589712532e-01,8.837549637955773862e-01,7.595380518547025783e-01
4.269278866194247540e-02,-1.790614023343644945e+01,-1.646599053455419437e+01,-1.398279531528407382e+01,-1.715085416806179097e+01,7.233938878898387159e-01,7.725801220443683226e-01,8.786481997690952506e-01,7.532820116204828054e-01
4.305543976656940608e-02,-1.770903514020898228e+01,-1.626928775782186420e+01,-1.378831294671701357e+01,-1.695425397752084251e+01,7.169359465444715696e-01,7.666443796278682443e-01,8.736125882251308816e-01,7.470978840492745743e-01
4.341809087119632982e-02,-1.751522888581649084e+01,-1.607589223142411683e+01,-1.359718356364897396e+01,-1.676096304962967665e+01,7.105488874151173473e-01,7.607793720016398087e-01,8.686468979450103767e-01,7.409844537004582898e-01
4.378074197582326049e-02,-1.732463961471184177e+01,-1.588572222059107375e+01,-1.340932583313938586e+01,-1.657089962944853312e+01,7.042315290167304731e-01,7.549839146082981678e-01,8.637499277125789687e-01,7.349405352905378219e-01
4.414339308045019117e-02,-1.713718816304379544e+01,-1.569869868634441445e+01,-1.322466112877563837e+01,-1.638398465658889691e+01,6.979827190611973542e-01,7.492568520428470880e-01,8.589205053164000736e-01,7.289649726959457343e-01
4.450604418507711491e-02,-1.695279794900397974e+01,-1.551474516712630347e+01,-1.304311338579057811e+01,-1.620014164877837715e+01,6.918013335010720910e-01,7.435970570965113602e-01,8.541574865945008588e-01,7.230566379969733948e-01
4.486869528970404558e-02,-1.677139486846594707e+01,-1.533378767853476177e+01,-1.286460898762820193e+01,-1.601929659575307952e+01,6.856862756121184788e-01,7.380034298402118331e-01,8.494597545259567895e-01,7.172144305620542504e-01
4.523134639433096932e-02,-1.659290719500716094e+01,-1.515575461449293471e+01,-1.268907671718369379e+01,-1.584137786913960610e+01,6.796364751129060355e-01,7.324748967441438996e-01,8.448262183518870927e-01,7.114372761676281964e-01
4.559399749895789999e-02,-1.641726548636232152e+01,-1.498057665282760098e+01,-1.251644762888159157e+01,-1.566631612229078385e+01,6.736508873194939628e-01,7.270104098323955100e-01,8.402558127284863732e-01,7.057241261525083464e-01
4.595664860358482373e-02,-1.624440249428767302e+01,-1.480818667001303979e+01,-1.234665493129588221e+01,-1.549404419490518769e+01,6.677284923334236844e-01,7.216089458701464565e-01,8.357474969245359819e-01,7.000739566077063269e-01
4.631929970821175441e-02,-1.607425307838335016e+01,-1.463851964746696765e+01,-1.217963395912530267e+01,-1.532449703804453733e+01,6.618682942616804787e-01,7.162695055833169233e-01,8.313002540452807398e-01,6.944857675971464195e-01
4.668195081283868508e-02,-1.590675412422771018e+01,-1.447151259006642299e+01,-1.201532206917496914e+01,-1.515761162800340855e+01,6.560693204671260714e-01,7.109911129099834026e-01,8.269130902802490635e-01,6.889585824075962206e-01
4.704460191746560882e-02,-1.574184446529769943e+01,-1.430710445033195199e+01,-1.185365852577264789e+01,-1.499332688120215629e+01,6.503306208479333606e-01,7.057728142803155746e-01,8.225850341907109398e-01,6.834914468296453549e-01
4.740725302209253950e-02,-1.557946480847254023e+01,-1.414523605389404892e+01,-1.169458447268145207e+01,-1.483158358862485215e+01,6.446512671446860132e-01,7.006136779237759349e-01,8.183151360230045412e-01,6.780834284660042233e-01
4.776990412671947017e-02,-1.541955766293037833e+01,-1.398585003123806914e+01,-1.153804286083669339e+01,-1.467232434449264034e+01,6.390303522738813857e-01,6.955127932022118209e-01,8.141024670400613950e-01,6.727336160646261165e-01
4.813255523134639391e-02,-1.526206727225883242e+01,-1.382889074946901431e+01,-1.138397834378554840e+01,-1.451549347131476608e+01,6.334669896866337302e-01,6.904692699676941992e-01,8.099461188849924609e-01,6.674411188783501148e-01
4.849520633597331765e-02,-1.510693954945142892e+01,-1.367430423974660414e+01,-1.123233722901514753e+01,-1.436103695802900937e+01,6.279603127514759020e-01,6.854822379458899162e-01,8.058452029724587629e-01,6.622050660493528085e-01
4.885785744060025526e-02,-1.495412201434072230e+01,-1.352203814028286999e+01,-1.108306744741564742e+01,-1.420890240360093415e+01,6.225094741602921200e-01,6.805508461429248257e-01,8.017988498944064180e-01,6.570246060150429779e-01
4.922050854522717900e-02,-1.480356373587957997e+01,-1.337204163720471328e+01,-1.093611845624836043e+01,-1.405903895173695517e+01,6.171136453560629453e-01,6.756742622733096226e-01,7.978062088489317194e-01,6.518989059360218441e-01
4.958315964985410274e-02,-1.465521527493283571e+01,-1.322426540875592593e+01,-1.079144117044286766e+01,-1.391139723146318019e+01,6.117720159814471481e-01,6.708516722087023432e-01,7.938664470991982913e-01,6.468271511466545665e-01
4.994581075448103341e-02,-1.450902862998370146e+01,-1.307866157606810020e+01,-1.064898796393298319e+01,-1.376592931354108984e+01,6.064837933475835108e-01,6.660822794457184060e-01,7.899787494445698055e-01,6.418085446243215753e-01
5.030846185910796409e-02,-1.436495718532245114e+01,-1.293518364042445690e+01,-1.050871258341486758e+01,-1.362258865202799463e+01,6.012482019221320195e-01,6.613653045940408592e-01,7.861423177071390489e-01,6.368423064771674413e-01
