P_FA,P_MD_exact,P_MD_OR
3.476019181541981086e-06,8.771293834711625381e-01,9.087134198523574291e-01
3.557150206821382261e-06,8.763369544643719866e-01,9.079047076420112550e-01
3.640174847446137571e-06,8.755387345867268190e-01,9.070898813505625657e-01
3.725137300800209723e-06,8.747346912478504155e-01,9.062689076068064509e-01
3.812082795843888179e-06,8.739247918359919209e-01,9.054417530192668817e-01
3.901057617190992911e-06,8.731090037204448651e-01,9.046083841786711766e-01
3.992109129748053595e-06,8.722872942539969809e-01,9.037687676604595488e-01
4.085285803928565736e-06,8.714596307754158833e-01,9.029228700273299602e-01
4.180637241455762313e-06,8.706259806119709399e-01,9.020706578318207214e-01
4.278214201767612727e-06,8.697863110819881172e-01,9.012120976189286203e-01
4.378068629038166541e-06,8.689405894974440159e-01,9.003471559287653525e-01
4.480253679829489530e-06,8.680887831665914378e-01,8.994757992992485907e-01
4.584823751389096440e-06,8.672308593966239210e-01,8.985979942688330224e-01
4.691834510607799239e-06,8.663667854963752468e-01,8.977137073792764710e-01
4.801342923653455473e-06,8.654965287790560291e-01,8.968229051784458727e-01
4.913407286296366456e-06,8.646200565650252745e-01,8.959255542231590042e-01
5.028087254942474832e-06,8.637373361846009123e-01,8.950216210820657325e-01
5.145443878390924374e-06,8.628483349809040748e-01,8.941110723385665704e-01
5.265539630332755835e-06,8.619530203127445667e-01,8.931938745937705315e-01
5.388438442608223285e-06,8.610513595575384205e-01,8.922699944694900687e-01
5.514205739240301802e-06,8.601433201142683060e-01,8.913393986112769785e-01
5.642908471262542655e-06,8.592288694064776911e-01,8.904020536914953876e-01
5.774615152359826014e-06,8.583079748853037483e-01,8.894579264124351514e-01
5.909395895340977084e-06,8.573806040325486766e-01,8.885069835094627777e-01
6.047322449462642738e-06,8.564467243637882143e-01,8.875491917542142062e-01
6.188468238624383032e-06,8.555063034315192327e-01,8.865845179578248914e-01
6.332908400455114979e-06,8.545593088283455208e-01,8.856129289742020738e-01
6.480719826311970893e-06,8.536057081902007626e-01,8.846343917033344662e-01
6.631981202212675134e-06,8.526454691996128155e-01,8.836488730946442383e-01
6.786773050723302017e-06,8.516785595890032923e-01,8.826563401503770834e-01
6.945177773823689313e-06,8.507049471440293331e-01,8.816567599290352497e-01
7.107279696773411969e-06,8.497245997069627910e-01,8.806500995488490968e-01
7.273165113001454420e-06,8.487374851801076092e-01,8.796363261912886200e-01
7.442922330043758391e-06,8.477435715292604979e-01,8.786154071046206049e-01
7.616641716552891624e-06,8.467428267872049164e-01,8.775873096074991997e-01
7.794415750404950390e-06,8.457352190572502426e-01,8.765520010926038941e-01
7.976339067929281247e-06,8.447207165168065801e-01,8.755094490303154675e-01
8.162508514287236875e-06,8.436992874210037519e-01,8.744596209724349034e-01
8.353023195026770343e-06,8.426709001063433790e-01,8.734024845559411609e-01
8.547984528840405692e-06,8.416355229943990324e-01,8.723380075067942441e-01
8.747496301554414961e-06,8.405931245955488018e-01,8.712661576437755739e-01
8.951664721378302299e-06,8.395436735127539407e-01,8.701869028823735475e-01
9.160598475443709407e-06,8.384871384453737031e-01,8.691002112387089529e-01
9.374408787662999990e-06,8.374234881930240348e-01,8.680060508335035729e-01
9.593209477938250218e-06,8.363526916594719030e-01,8.669043898960884231e-01
9.817117022752183588e-06,8.352747178565746999e-01,8.657951967684565098e-01
1.004625061717340349e-05,8.341895359082571737e-01,8.646784399093561113e-01
1.028073223830864773e-05,8.330971150545304349e-01,8.635540878984269142e-01
1.052068671023622922e-05,8.319974246555502662e-01,8.624221094403778931e-01
1.076624177045493382e-05,8.308904341957179529e-01,8.612824733692077128e-01
1.101752813788387281e-05,8.297761132878185286e-01,8.601351486524662082e-01
1.127467958244947345e-05,8.286544316772043173e-01,8.589801043955613835e-01
1.153783299629661965e-05,8.275253592460134477e-01,8.578173098461030488e-01
1.180712846666189158e-05,8.263888660174353307e-01,8.566467343982961946e-01
1.208270935044775918e-05,8.252449221600104412e-01,8.554683475973685614e-01
1.236472235053715054e-05,8.240934979919775083e-01,8.542821191440485018e-01
1.265331759388942887e-05,8.229345639856547878e-01,8.530880188990781487e-01
1.294864871145904885e-05,8.217680907718672989e-01,8.518860168877744332e-01
1.325087291997953872e-05,8.205940491444122520e-01,8.506760833046288495e-01
1.356015110565632028e-05,8.194124100645644448e-01,8.494581885179511849e-01
1.387664790981307146e-05,8.182231446656247353e-01,8.482323030745546610e-01
1.420053181653681733e-05,8.170262242575075939e-01,8.469983977044848178e-01
1.453197524236895456e-05,8.158216203313685133e-01,8.457564433257880321e-01
1.487115462808953834e-05,8.146093045642732733e-01,8.445064110493244458e-01
1.521825053264386973e-05,8.133892488239067298e-01,8.432482721836214168e-01
1.557344772926135167e-05,8.121614251733230150e-01,8.419819982397704905e-01
1.593693530381776085e-05,8.109258058757353727e-01,8.407075609363654500e-01
1.630890675549334320e-05,8.096823633993437408e-01,8.394249322044802231e-01
1.668956009978023132e-05,8.084310704222077426e-01,8.381340841926925300e-01
1.707909797389426672e-05,8.071718998371550935e-01,8.368349892721460570e-01
1.747772774464680730e-05,8.059048247567316414e-01,8.355276200416552612e-01
1.788566161883461801e-05,8.046298185181908202e-01,8.342119493328509217e-01
1.830311675620613092e-05,8.033468546885222938e-01,8.328879502153673231e-01
1.873031538506438325e-05,8.020559070695215675e-01,8.315555960020712956e-01
1.916748492056813148e-05,8.007569497028979022e-01,8.302148602543306666e-01
